,precision,recall,f1-score,support
mixto,0.92,1.0,0.9583333333333334,23.0
negativo,0.9375,0.6818181818181818,0.7894736842105263,22.0
neutro,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
positivo,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0
accuracy,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778
macro avg,0.8824352006688964,0.875494071146245,0.8725526614154434,90.0
weighted avg,0.8824494611668524,0.8777777777777778,0.8737880746840646,90.0
